meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
 26   4  3.494 v5 s2 t=3501 n4_5Fs1s_0      F#1 s    -- --o | d:ppp
 27   4  3.661 v5 s2 t=3672 n4_5A2t_2       A2  t    -- --o | d:ppp
 28   4  3.744 v5 s2 t=3757 n4_5Cs2t_2      C#2 t    -- --o | d:ppp
 29   4  3.827 v5 s2 t=3842 n4_5A2t_3       A2  t    -- --o | d:ppp
 30   4  3.910 v5 s2 t=3927 n4_5Fs1t_1      F#1 t    -- --o | d:ppp
 31   4  3.993 v5 s2 t=4012 n4_5Cs2t_3      C#2 t    -- --o | d:ppp
 32   4  4.076 v5 s2 t=4097 n4_5A2t_4       A2  t    -- --o | d:ppp
 33   4  4.159 v5 s2 t=4182 n4_5Cs2t_4      C#2 t    -- --o | d:ppp
 34   4  4.242 v5 s2 t=4267 n4_5Fs1s_1      F#1 s    -- --o | d:ppp
 35   4  4.409 v5 s2 t=4438 n4_5A2t_5       A2  t    -- --o | d:ppp
 36   4  4.492 v5 s2 t=4523 n4_5Cs2t_5      C#2 t    -- --o | d:ppp
meas:5 6/4 ticks:4608
  0   5  0.000 v1 s1 t=0    n5_1C1w         C1  w    te --- | 
  1   5  0.000 v5 s2 t=0    n5_5A2t_0       A2  t    -- --o | d:ppp
  2   5  0.083 v5 s2 t=85   n5_5Fs1t_0      F#1 t    -- --o | d:ppp
  3   5  0.166 v5 s2 t=170  n5_5Cs2t_0      C#2 t    -- --o | d:ppp
  4   5  0.249 v5 s2 t=255  n5_5A2t_1       A2  t    -- --o | d:ppp
  5   5  0.332 v5 s2 t=340  n5_5Cs2t_1      C#2 t    -- --o | d:ppp
  6   5  0.415 v5 s2 t=425  n5_5Fs1s_0      F#1 s    -- --o | d:ppp
  7   5  0.582 v5 s2 t=596  n5_5A2t_2       A2  t    -- --o | d:ppp
