meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
 50   8  3.000 v1 s1 t=3072 re8_1Rq_0       R   q    -- --- | 
 51   8  3.075 v5 s2 t=3149 n8_5Fs1t_12     F#1 t    -- --o | d:ppp
 52   8  3.158 v5 s2 t=3234 n8_5Cs2t_8      C#2 t    -- --o | d:ppp
 53   8  3.241 v5 s2 t=3319 n8_5Fs1t_13     F#1 t    -- --o | d:ppp
 54   8  3.324 v5 s2 t=3404 n8_5Cs2s_4      C#2 s    -- --o | d:ppp
 55   8  3.491 v5 s2 t=3575 n8_5Fs1t_14     F#1 t    -- --o | d:ppp
 56   8  3.574 v5 s2 t=3660 n8_5A2t_9       A2  t    -- --o | d:ppp
 57   8  3.657 v5 s2 t=3745 n8_5Cs2t_9      C#2 t    -- --o | d:ppp
 58   8  3.740 v5 s2 t=3830 n8_5A2t_10      A2  t    -- --o | d:ppp
 59   8  3.750 v1 s1 t=3840 re8_1Rq_1       R   q    -- --- | 
 60   8  3.823 v5 s2 t=3915 n8_5Fs1t_15     F#1 t    -- --o | d:ppp
 61   8  3.906 v5 s2 t=4000 n8_5Cs2t_10     C#2 t    -- --o | d:ppp
 62   8  3.989 v5 s2 t=4085 n8_5Fs1t_16     F#1 t    -- --o | d:ppp
 63   8  4.072 v5 s2 t=4170 n8_5Cs2s_5      C#2 s    -- --o | d:ppp
 64   8  4.239 v5 s2 t=4341 n8_5Fs1t_17     F#1 t    -- --o | d:ppp
 65   8  4.322 v5 s2 t=4426 n8_5A2t_11      A2  t    -- --o | d:ppp
 66   8  4.405 v5 s2 t=4511 n8_5Cs2t_11     C#2 t    -- --o | d:ppp
meas:9 6/4 ticks:4608
  0   9  0.000 v1 s1 t=0    re9_1RM         R   M    -- --- | 
  1   9  0.000 v5 s2 t=0    n9_5A2t_0       A2  t    -- --o | d:ppp
  2   9  0.083 v5 s2 t=85   n9_5Fs1t_0      F#1 t    -- --o | d:ppp
  3   9  0.166 v5 s2 t=170  n9_5Cs2t_0      C#2 t    -- --o | d:ppp
  4   9  0.249 v5 s2 t=255  n9_5Fs1t_1      F#1 t    -- --o | d:ppp
  5   9  0.332 v5 s2 t=340  n9_5Cs2s_0      C#2 s    -- --o | d:ppp
  6   9  0.499 v5 s2 t=511  n9_5Fs1t_2      F#1 t    -- --o | d:ppp
  7   9  0.582 v5 s2 t=596  n9_5A2t_1       A2  t    -- --o | d:ppp
  8   9  0.665 v5 s2 t=681  n9_5Cs2t_1      C#2 t    -- --o | d:ppp
  9   9  0.748 v5 s2 t=766  n9_5A2t_2       A2  t    -- --o | d:ppp
